per_idx,cat_idx,dt_idx,geo_idx,is_adj,val,year
13,1,6,6,1,D,2005
14,1,6,6,1,D,2005
15,1,6,6,1,102,2005
16,1,6,6,1,143,2005
17,1,6,6,1,D,2005
18,1,6,6,1,D,2005
19,1,6,6,1,D,2005
20,1,6,6,1,D,2005
21,1,6,6,1,D,2005
22,1,6,6,1,D,2005
23,1,6,6,1,D,2005
24,1,6,6,1,D,2005
25,1,6,6,1,D,2006
26,1,6,6,1,D,2006
27,1,6,6,1,104,2006
28,1,6,6,1,D,2006
29,1,6,6,1,95,2006
30,1,6,6,1,D,2006
31,1,6,6,1,D,2006
32,1,6,6,1,D,2006
33,1,6,6,1,D,2006
34,1,6,6,1,D,2006
35,1,6,6,1,87,2006
36,1,6,6,1,D,2006
37,1,6,6,1,86,2007
38,1,6,6,1,D,2007
39,1,6,6,1,D,2007
40,1,6,6,1,D,2007
41,1,6,6,1,D,2007
42,1,6,6,1,D,2007
43,1,6,6,1,D,2007
44,1,6,6,1,D,2007
45,1,6,6,1,D,2007
46,1,6,6,1,D,2007
47,1,6,6,1,D,2007
48,1,6,6,1,D,2007
49,1,6,6,1,D,2008
50,1,6,6,1,78,2008
51,1,6,6,1,D,2008
52,1,6,6,1,84,2008
53,1,6,6,1,D,2008
54,1,6,6,1,D,2008
55,1,6,6,1,D,2008
56,1,6,6,1,D,2008
57,1,6,6,1,D,2008
58,1,6,6,1,D,2008
59,1,6,6,1,D,2008
60,1,6,6,1,62,2008
61,1,6,6,1,D,2009
62,1,6,6,1,D,2009
63,1,6,6,1,70,2009
64,1,6,6,1,D,2009
65,1,6,6,1,D,2009
66,1,6,6,1,D,2009
67,1,6,6,1,D,2009
68,1,6,6,1,73,2009
69,1,6,6,1,D,2009
70,1,6,6,1,D,2009
71,1,6,6,1,D,2009
72,1,6,6,1,D,2009
73,1,6,6,1,D,2010
74,1,6,6,1,D,2010
75,1,6,6,1,D,2010
76,1,6,6,1,D,2010
77,1,6,6,1,D,2010
78,1,6,6,1,D,2010
79,1,6,6,1,D,2010
80,1,6,6,1,D,2010
81,1,6,6,1,D,2010
82,1,6,6,1,D,2010
83,1,6,6,1,D,2010
84,1,6,6,1,75,2010
85,1,6,6,1,75,2011
86,1,6,6,1,D,2011
87,1,6,6,1,D,2011
88,1,6,6,1,74,2011
89,1,6,6,1,73,2011
90,1,6,6,1,72,2011
91,1,6,6,1,D,2011
92,1,6,6,1,D,2011
93,1,6,6,1,70,2011
94,1,6,6,1,D,2011
95,1,6,6,1,D,2011
96,1,6,6,1,D,2011
97,1,6,6,1,D,2012
98,1,6,6,1,D,2012
99,1,6,6,1,D,2012
100,1,6,6,1,D,2012
101,1,6,6,1,D,2012
102,1,6,6,1,77,2012
103,1,6,6,1,D,2012
104,1,6,6,1,D,2012
105,1,6,6,1,D,2012
106,1,6,6,1,D,2012
107,1,6,6,1,D,2012
108,1,6,6,1,D,2012
109,1,6,6,1,71,2013
110,1,6,6,1,D,2013
111,1,6,6,1,D,2013
112,1,6,6,1,D,2013
113,1,6,6,1,D,2013
114,1,6,6,1,D,2013
115,1,6,6,1,D,2013
116,1,6,6,1,D,2013
117,1,6,6,1,70,2013
118,1,6,6,1,D,2013
119,1,6,6,1,D,2013
120,1,6,6,1,D,2013
121,1,6,6,1,67,2014
122,1,6,6,1,D,2014
123,1,6,6,1,D,2014
124,1,6,6,1,78,2014
125,1,6,6,1,D,2014
126,1,6,6,1,D,2014
127,1,6,6,1,D,2014
128,1,6,6,1,D,2014
129,1,6,6,1,D,2014
130,1,6,6,1,79,2014
131,1,6,6,1,75,2014
132,1,6,6,1,81,2014
133,1,6,6,1,D,2015
134,1,6,6,1,D,2015
135,1,6,6,1,81,2015
136,1,6,6,1,81,2015
137,1,6,6,1,D,2015
138,1,6,6,1,D,2015
139,1,6,6,1,D,2015
140,1,6,6,1,D,2015
141,1,6,6,1,81,2015
142,1,6,6,1,D,2015
143,1,6,6,1,74,2015
144,1,6,6,1,D,2015
145,1,6,6,1,83,2016
146,1,6,6,1,78,2016
147,1,6,6,1,88,2016
148,1,6,6,1,D,2016
149,1,6,6,1,D,2016
150,1,6,6,1,73,2016
151,1,6,6,1,D,2016
152,1,6,6,1,D,2016
153,1,6,6,1,D,2016
154,1,6,6,1,D,2016
155,1,6,6,1,84,2016
156,1,6,6,1,D,2016
157,1,6,6,1,D,2017
158,1,6,6,1,D,2017
159,1,6,6,1,72,2017
160,1,6,6,1,70,2017
161,1,6,6,1,82,2017
162,1,6,6,1,71,2017
163,1,6,6,1,D,2017
164,1,6,6,1,68,2017
165,1,6,6,1,D,2017
166,1,6,6,1,D,2017
167,1,6,6,1,81,2017
168,1,6,6,1,D,2017
169,1,6,6,1,83,2018
170,1,6,6,1,73,2018
171,1,6,6,1,75,2018
172,1,6,6,1,82,2018
173,1,6,6,1,78,2018
174,1,6,6,1,79,2018
175,1,6,6,1,D,2018
176,1,6,6,1,83,2018
177,1,6,6,1,D,2018
178,1,6,6,1,D,2018
179,1,6,6,1,71,2018
180,1,6,6,1,D,2018
181,1,6,6,1,73,2019
182,1,6,6,1,73,2019
183,1,6,6,1,73,2019
184,1,6,6,1,81,2019
185,1,6,6,1,66,2019
186,1,6,6,1,71,2019
187,1,6,6,1,D,2019
188,1,6,6,1,73,2019
189,1,6,6,1,D,2019
190,1,6,6,1,68,2019
191,1,6,6,1,D,2019
192,1,6,6,1,D,2019
193,1,6,6,1,63,2020
194,1,6,6,1,80,2020
195,1,6,6,1,73,2020
196,1,6,6,1,46,2020
197,1,6,6,1,72,2020
198,1,6,6,1,77,2020
199,1,6,6,1,75,2020
200,1,6,6,1,84,2020
201,1,6,6,1,81,2020
202,1,6,6,1,D,2020
203,1,6,6,1,D,2020
204,1,6,6,1,66,2020
205,1,6,6,1,95,2021
206,1,6,6,1,79,2021
207,1,6,6,1,75,2021
208,1,6,6,1,73,2021
209,1,6,6,1,87,2021
210,1,6,6,1,82,2021
211,1,6,6,1,84,2021
212,1,6,6,1,75,2021
213,1,6,6,1,74,2021
214,1,6,6,1,79,2021
215,1,6,6,1,67,2021
216,1,6,6,1,96,2021
13,1,6,7,1,493,2005
14,1,6,7,1,491,2005
